Channel,n,N,Error
W1,5,250,0.006
W1,10,600,0.006
W1,15,1300,0.006
W1,20,2200,0.002
W1,25,3100,0.008
W2,5,50,0.004
W2,10,200,0.006
W2,15,450,0.004
W2,20,650,0.008
W2,25,1050,0.006
