Channel,n,N,Error
W1,5,100,0.008
W1,10,200,0.008
W1,15,300,0.004
W1,20,350,0.008
W1,25,550,0.008
W2,5,100,0.002
W2,10,200,0.008
W2,15,450,0.006
W2,20,850,0.006
W2,25,1350,0.008
W3,5,100,0.002
W3,10,150,0.006
W3,15,300,0.004
W3,20,300,0.006
W3,25,400,0.006

