Channel,n,Delta_Target,N_Lower_CI,N_Central,N_Upper_CI,Error_at_N_Central,CI_Lower_at_N_Central,CI_Upper_at_N_Central
W2,20,0.3,131,84,51,0.265,0.20868154147109108,0.3301757619262242
W2,20,0.31,114,83,51,0.305,0.2453641563073503,0.37198552097978366
W2,20,0.32,105,76,61,0.315,0.2546232099022851,0.3823495608573036
W2,20,0.33,120,70,62,0.31,0.22779697212376043,0.4062605571948941
W2,20,0.34,105,72,48,0.33,0.2456312273412804,0.42694656204909476
W2,20,0.35000000000000003,106,69,57,0.32,0.23669147324999093,0.41662618610452384
W2,20,0.36000000000000004,90,68,45,0.34,0.25461520797348164,0.43722271145275377
W2,20,0.37,95,64,49,0.36,0.2727122040140433,0.4576459754839127
W2,20,0.38,102,62,52,0.36,0.2727122040140433,0.4576459754839127
W2,20,0.39,85,59,49,0.35,0.2636424824309753,0.44745556703112044
W2,20,0.4,85,58,35,0.39,0.3001687400639442,0.4879698295415927
W2,20,0.41000000000000003,82,58,42,0.38,0.2909759925247874,0.4779024470448892
W2,20,0.42000000000000004,79,57,39,0.42,0.32798382674354737,0.5179351329695704
W2,20,0.43,82,53,45,0.41,0.31867313021136523,0.5079856994658922
W2,20,0.44,78,52,32,0.43,0.3373329852411011,0.5278461045078768
W2,20,0.45,73,53,35,0.44,0.346720266301608,0.5377189534832303
W2,20,0.46,61,50,38,0.38,0.2909759925247874,0.4779024470448892
W2,20,0.47000000000000003,73,48,36,0.41,0.31867313021136523,0.5079856994658922
W2,20,0.48000000000000004,65,48,30,0.48,0.384645517580519,0.5768342223477604
W2,20,0.49,65,47,33,0.47,0.37510817959341275,0.5671114302990065
W2,20,0.5,64,43,38,0.47,0.37510817959341275,0.5671114302990065
