Channel,n,N,Error
W1,5,250,0.0
W1,10,700,0.004
W1,15,1150,0.008
W1,20,2250,0.008
W1,25,3100,0.004
W2,5,100,0.0
W2,10,150,0.006
W2,15,400,0.006
W2,20,600,0.008
W2,25,1050,0.004
W3,5,150,0.004
W3,10,350,0.002
W3,15,650,0.008
W3,20,950,0.008
W3,25,1700,0.006
